4 , 23/10/2012 04:48:41:810 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:48:41:810 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:48:41:810 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091594901Oustanding Amount :70000.0
4 , 23/10/2012 04:48:41:810 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12PU090018601Oustanding Amount :92614.0
4 , 23/10/2012 04:48:41:810 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091594901Approved Application Amount :70000.0
4 , 23/10/2012 04:48:41:826 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12PU090018601Approved Application Amount :100000.0
4 , 23/10/2012 04:48:41:826 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091594901Claim Applied Amount :59500.0
4 , 23/10/2012 04:48:41:826 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12PU090018601Claim Applied Amount :65433.0
4 , 23/10/2012 04:48:41:826 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091594901Recovered Amount :0.0
4 , 23/10/2012 04:48:41:826 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12PU090018601Recovered Amount :0.0
4 , 23/10/2012 04:48:41:888 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091594901Default Amount :100000.0
4 , 23/10/2012 04:48:41:888 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12PU090018601Default Amount :97302.0
4 , 23/10/2012 04:48:41:888 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:48:41:888 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:48:41:904 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:48:41:904 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:48:41:966 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:48:41:982 , CPDAO , isRecoveryDetailsAvailable() , Exited!
