4 , 23/10/2012 06:31:08:552 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:553 , ClaimAction , displayClaimApproval() , memId :003000040000
4 , 23/10/2012 06:31:08:554 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12RA090811601
4 , 23/10/2012 06:31:08:555 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:556 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:557 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:558 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:559 , ClaimAction , displayClaimApproval() , memId :000100500000
4 , 23/10/2012 06:31:08:560 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090226901
4 , 23/10/2012 06:31:08:561 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:562 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:565 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:566 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:567 , ClaimAction , displayClaimApproval() , memId :001500120000
4 , 23/10/2012 06:31:08:568 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB090559201
4 , 23/10/2012 06:31:08:569 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:570 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:571 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:572 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:573 , ClaimAction , displayClaimApproval() , memId :000100650000
4 , 23/10/2012 06:31:08:574 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP102811401
4 , 23/10/2012 06:31:08:575 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:576 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:577 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:578 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:579 , ClaimAction , displayClaimApproval() , memId :001500020000
4 , 23/10/2012 06:31:08:580 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12GU100327901
4 , 23/10/2012 06:31:08:581 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:582 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:583 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:584 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:585 , ClaimAction , displayClaimApproval() , memId :001500100000
4 , 23/10/2012 06:31:08:586 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KE090008101
4 , 23/10/2012 06:31:08:587 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:588 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:591 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:594 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:595 , ClaimAction , displayClaimApproval() , memId :000100650000
4 , 23/10/2012 06:31:08:604 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP090100401
4 , 23/10/2012 06:31:08:605 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:607 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:608 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:609 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:610 , ClaimAction , displayClaimApproval() , memId :003000040000
4 , 23/10/2012 06:31:08:611 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12RA090769601
4 , 23/10/2012 06:31:08:613 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:614 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:615 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:616 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:618 , ClaimAction , displayClaimApproval() , memId :000100190000
4 , 23/10/2012 06:31:08:619 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12BI100525901
4 , 23/10/2012 06:31:08:620 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:621 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:622 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:623 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:625 , ClaimAction , displayClaimApproval() , memId :001500070000
4 , 23/10/2012 06:31:08:626 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB110210701
4 , 23/10/2012 06:31:08:627 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:628 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:629 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:630 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:631 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 06:31:08:632 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091283001
4 , 23/10/2012 06:31:08:633 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:635 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:636 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:637 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:638 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 06:31:08:639 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101600801
4 , 23/10/2012 06:31:08:641 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:642 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:643 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:644 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:645 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 06:31:08:647 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091565301
4 , 23/10/2012 06:31:08:648 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:649 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:650 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:652 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:653 , ClaimAction , displayClaimApproval() , memId :000500180000
4 , 23/10/2012 06:31:08:654 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12AP090250601
4 , 23/10/2012 06:31:08:655 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:656 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:657 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:659 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:660 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 06:31:08:661 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP100179201
4 , 23/10/2012 06:31:08:662 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:665 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:666 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:668 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:669 , ClaimAction , displayClaimApproval() , memId :003000040000
4 , 23/10/2012 06:31:08:670 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12RA070096201
4 , 23/10/2012 06:31:08:671 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:673 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:674 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:675 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:678 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 06:31:08:680 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091940701
4 , 23/10/2012 06:31:08:681 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:682 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:684 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:685 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:686 , ClaimAction , displayClaimApproval() , memId :000100550000
4 , 23/10/2012 06:31:08:687 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101678201
4 , 23/10/2012 06:31:08:688 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:690 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:691 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:692 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:693 , ClaimAction , displayClaimApproval() , memId :005600120000
4 , 23/10/2012 06:31:08:694 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12JH080044601
4 , 23/10/2012 06:31:08:695 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:697 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:698 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:699 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:700 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 06:31:08:701 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091924601
4 , 23/10/2012 06:31:08:702 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:704 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:705 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:706 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:707 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 06:31:08:708 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP102798101
4 , 23/10/2012 06:31:08:710 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:711 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:712 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:713 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:714 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 06:31:08:715 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091283401
4 , 23/10/2012 06:31:08:717 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:718 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:719 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:720 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:722 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 06:31:08:723 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP091592101
4 , 23/10/2012 06:31:08:724 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:725 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:726 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:728 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:729 , ClaimAction , displayClaimApproval() , memId :000100580000
4 , 23/10/2012 06:31:08:730 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101333001
4 , 23/10/2012 06:31:08:731 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:732 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:733 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:735 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:736 , ClaimAction , displayClaimApproval() , memId :001400010000
4 , 23/10/2012 06:31:08:737 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP102449401
4 , 23/10/2012 06:31:08:738 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:739 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:742 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 06:31:08:744 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 06:31:08:745 , ClaimAction , displayClaimApproval() , memId :000200240000
4 , 23/10/2012 06:31:08:746 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP100710201
4 , 23/10/2012 06:31:08:747 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 06:31:08:749 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 06:31:08:750 , ClaimAction , displayClaimApproval() , ###################
