4 , 23/10/2012 04:47:20:408 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101716301Claim Applied Amount :40000.0
4 , 23/10/2012 04:47:20:408 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101716301Recovered Amount :0.0
4 , 23/10/2012 04:47:20:408 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101716301Default Amount :315000.0
4 , 23/10/2012 04:47:20:408 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:408 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:439 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:439 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102199101Oustanding Amount :5819.0
4 , 23/10/2012 04:47:20:455 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102199101Approved Application Amount :6000.0
4 , 23/10/2012 04:47:20:455 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:470 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102199101Claim Applied Amount :5919.0
4 , 23/10/2012 04:47:20:470 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101600701Oustanding Amount :40000.0
4 , 23/10/2012 04:47:20:470 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102199101Recovered Amount :0.0
4 , 23/10/2012 04:47:20:470 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:470 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101600701Approved Application Amount :40000.0
4 , 23/10/2012 04:47:20:470 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB102199101Default Amount :220000.0
4 , 23/10/2012 04:47:20:486 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080160401Oustanding Amount :53977.0
4 , 23/10/2012 04:47:20:486 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101600701Claim Applied Amount :34000.0
4 , 23/10/2012 04:47:20:486 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:486 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080160401Approved Application Amount :100000.0
4 , 23/10/2012 04:47:20:486 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101600701Recovered Amount :0.0
4 , 23/10/2012 04:47:20:486 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:517 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080160401Claim Applied Amount :61465.0
4 , 23/10/2012 04:47:20:517 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101600701Default Amount :25000.0
4 , 23/10/2012 04:47:20:533 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080160401Recovered Amount :0.0
4 , 23/10/2012 04:47:20:533 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:533 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080160401Default Amount :40000.0
4 , 23/10/2012 04:47:20:533 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:533 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:533 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:548 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:564 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101059901Oustanding Amount :90588.0
4 , 23/10/2012 04:47:20:564 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101059901Approved Application Amount :95000.0
4 , 23/10/2012 04:47:20:564 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101059901Claim Applied Amount :71250.0
4 , 23/10/2012 04:47:20:564 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101059901Recovered Amount :0.0
4 , 23/10/2012 04:47:20:564 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB101059901Default Amount :5819.0
4 , 23/10/2012 04:47:20:564 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:564 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:595 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:611 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080144701Oustanding Amount :25000.0
4 , 23/10/2012 04:47:20:611 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080144701Approved Application Amount :25000.0
4 , 23/10/2012 04:47:20:611 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:611 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080144701Claim Applied Amount :18750.0
4 , 23/10/2012 04:47:20:611 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI080068901Oustanding Amount :90000.0
4 , 23/10/2012 04:47:20:626 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080144701Recovered Amount :0.0
4 , 23/10/2012 04:47:20:626 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI080068901Approved Application Amount :90000.0
4 , 23/10/2012 04:47:20:626 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080144701Default Amount :40000.0
4 , 23/10/2012 04:47:20:626 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI080068901Claim Applied Amount :76500.0
4 , 23/10/2012 04:47:20:626 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 04:47:20:642 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:642 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI080068901Recovered Amount :0.0
4 , 23/10/2012 04:47:20:642 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100910101Oustanding Amount :211517.0
4 , 23/10/2012 04:47:20:642 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:642 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12BI080068901Default Amount :53977.0
4 , 23/10/2012 04:47:20:642 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100910101Approved Application Amount :225000.0
4 , 23/10/2012 04:47:20:642 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 04:47:20:642 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100910101Claim Applied Amount :212645.0
4 , 23/10/2012 04:47:20:642 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 04:47:20:658 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12GU100910101Recovered Amount :0.0
