4 , 22/10/2012 07:03:57:484 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:57:485 , ClaimAction , displayClaimApproval() , memId :000500120000
4 , 22/10/2012 07:03:57:486 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KE100039201
4 , 22/10/2012 07:03:57:487 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:57:488 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:57:489 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:57:490 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:57:491 , ClaimAction , displayClaimApproval() , memId :001500030000
4 , 22/10/2012 07:03:57:492 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KA100074101
4 , 22/10/2012 07:03:57:493 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:57:494 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:57:495 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:57:496 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:57:497 , ClaimAction , displayClaimApproval() , memId :001500030000
4 , 22/10/2012 07:03:57:498 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12KA101010401
4 , 22/10/2012 07:03:57:499 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:57:500 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:57:501 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:57:502 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:57:534 , ClaimAction , displayClaimApproval() , memId :001500180000
4 , 22/10/2012 07:03:57:538 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB100019401
4 , 22/10/2012 07:03:57:539 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:57:540 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 22/10/2012 07:03:57:541 , ClaimAction , displayClaimApproval() , ###################
4 , 22/10/2012 07:03:57:542 , ClaimAction , displayClaimApproval() , ##################
4 , 22/10/2012 07:03:57:543 , ClaimAction , displayClaimApproval() , memId :000100110000
4 , 22/10/2012 07:03:57:544 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101197001
4 , 22/10/2012 07:03:57:545 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 22/10/2012 07:03:57:546 , ClaimAction , displayClaimApproval() , forwardedToUser :null
