4 , 23/10/2012 06:29:40:409 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090720001Claim Applied Amount :42500.0
4 , 23/10/2012 06:29:40:411 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090720001Recovered Amount :0.0
4 , 23/10/2012 06:29:40:414 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090720001Default Amount :50000.0
4 , 23/10/2012 06:29:40:416 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:40:419 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:40:484 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:40:487 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090705601Oustanding Amount :50000.0
4 , 23/10/2012 06:29:40:489 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090705601Approved Application Amount :50000.0
4 , 23/10/2012 06:29:40:492 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090705601Claim Applied Amount :42500.0
4 , 23/10/2012 06:29:40:494 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090705601Recovered Amount :0.0
4 , 23/10/2012 06:29:40:497 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090705601Default Amount :50000.0
4 , 23/10/2012 06:29:40:500 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:40:502 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:40:573 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:40:575 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091180201Oustanding Amount :50000.0
4 , 23/10/2012 06:29:40:578 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091180201Approved Application Amount :50000.0
4 , 23/10/2012 06:29:40:581 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091180201Claim Applied Amount :42500.0
4 , 23/10/2012 06:29:40:583 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091180201Recovered Amount :0.0
4 , 23/10/2012 06:29:40:586 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091180201Default Amount :50000.0
4 , 23/10/2012 06:29:40:589 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:40:591 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:40:651 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:40:653 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101683001Oustanding Amount :50000.0
4 , 23/10/2012 06:29:40:656 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101683001Approved Application Amount :50000.0
4 , 23/10/2012 06:29:40:659 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101683001Claim Applied Amount :38653.0
4 , 23/10/2012 06:29:40:661 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101683001Recovered Amount :0.0
4 , 23/10/2012 06:29:40:664 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101683001Default Amount :50000.0
4 , 23/10/2012 06:29:40:666 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:40:669 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:40:730 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:40:733 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091955001Oustanding Amount :50000.0
4 , 23/10/2012 06:29:40:736 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091955001Approved Application Amount :50000.0
4 , 23/10/2012 06:29:40:738 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091955001Claim Applied Amount :42500.0
4 , 23/10/2012 06:29:40:741 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091955001Recovered Amount :0.0
4 , 23/10/2012 06:29:40:744 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP091955001Default Amount :50000.0
4 , 23/10/2012 06:29:40:747 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:40:750 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:40:813 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:40:814 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090737401Oustanding Amount :35000.0
4 , 23/10/2012 06:29:40:818 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090737401Approved Application Amount :35000.0
4 , 23/10/2012 06:29:40:820 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090737401Claim Applied Amount :29750.0
4 , 23/10/2012 06:29:40:821 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090737401Recovered Amount :0.0
4 , 23/10/2012 06:29:40:830 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090737401Default Amount :50000.0
4 , 23/10/2012 06:29:40:831 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:40:833 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:40:890 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:40:893 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090477301Oustanding Amount :50000.0
4 , 23/10/2012 06:29:40:894 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090477301Approved Application Amount :50000.0
4 , 23/10/2012 06:29:40:898 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090477301Claim Applied Amount :42500.0
4 , 23/10/2012 06:29:40:900 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090477301Recovered Amount :0.0
4 , 23/10/2012 06:29:40:901 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP090477301Default Amount :35000.0
4 , 23/10/2012 06:29:40:902 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:40:903 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:40:965 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:40:968 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101339001Oustanding Amount :50000.0
4 , 23/10/2012 06:29:40:971 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101339001Approved Application Amount :50000.0
4 , 23/10/2012 06:29:40:974 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101339001Claim Applied Amount :42500.0
4 , 23/10/2012 06:29:40:977 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101339001Recovered Amount :0.0
4 , 23/10/2012 06:29:40:980 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101339001Default Amount :50000.0
4 , 23/10/2012 06:29:40:983 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:40:984 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:41:049 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:41:053 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP070060601Oustanding Amount :40000.0
4 , 23/10/2012 06:29:41:056 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP070060601Approved Application Amount :40000.0
4 , 23/10/2012 06:29:41:059 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP070060601Claim Applied Amount :34000.0
4 , 23/10/2012 06:29:41:063 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP070060601Recovered Amount :0.0
4 , 23/10/2012 06:29:41:065 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP070060601Default Amount :50000.0
4 , 23/10/2012 06:29:41:068 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:41:074 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:41:136 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:41:139 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080144601Oustanding Amount :25000.0
4 , 23/10/2012 06:29:41:142 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080144601Approved Application Amount :25000.0
4 , 23/10/2012 06:29:41:145 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080144601Claim Applied Amount :18750.0
4 , 23/10/2012 06:29:41:148 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080144601Recovered Amount :0.0
4 , 23/10/2012 06:29:41:151 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12RA080144601Default Amount :40000.0
4 , 23/10/2012 06:29:41:154 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:41:157 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:41:231 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:41:234 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102449201Oustanding Amount :50000.0
4 , 23/10/2012 06:29:41:237 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102449201Approved Application Amount :50000.0
4 , 23/10/2012 06:29:41:240 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102449201Claim Applied Amount :50000.0
4 , 23/10/2012 06:29:41:244 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102449201Recovered Amount :0.0
4 , 23/10/2012 06:29:41:247 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP102449201Default Amount :25000.0
4 , 23/10/2012 06:29:41:250 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:41:254 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:41:319 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:41:322 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100620601Oustanding Amount :1243759.0
4 , 23/10/2012 06:29:41:325 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100620601Approved Application Amount :1294000.0
4 , 23/10/2012 06:29:41:328 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100620601Claim Applied Amount :532259.0
4 , 23/10/2012 06:29:41:331 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100620601Recovered Amount :0.0
4 , 23/10/2012 06:29:41:334 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12WB100620601Default Amount :50000.0
4 , 23/10/2012 06:29:41:337 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:41:340 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:41:399 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:41:402 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100664501Oustanding Amount :115000.0
4 , 23/10/2012 06:29:41:406 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100664501Approved Application Amount :115000.0
4 , 23/10/2012 06:29:41:409 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100664501Claim Applied Amount :86250.0
4 , 23/10/2012 06:29:41:412 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100664501Recovered Amount :0.0
4 , 23/10/2012 06:29:41:414 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12KA100664501Default Amount :1243759.0
4 , 23/10/2012 06:29:41:417 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:41:420 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:41:484 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:41:487 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101285301Oustanding Amount :144656.0
4 , 23/10/2012 06:29:41:490 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101285301Approved Application Amount :228000.0
4 , 23/10/2012 06:29:41:493 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101285301Claim Applied Amount :59999.0
4 , 23/10/2012 06:29:41:496 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101285301Recovered Amount :0.0
4 , 23/10/2012 06:29:41:498 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101285301Default Amount :115000.0
4 , 23/10/2012 06:29:41:501 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:41:503 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:41:568 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:41:571 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100402901Oustanding Amount :31500.0
4 , 23/10/2012 06:29:41:574 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100402901Approved Application Amount :31500.0
4 , 23/10/2012 06:29:41:577 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100402901Claim Applied Amount :26775.0
4 , 23/10/2012 06:29:41:580 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100402901Recovered Amount :0.0
4 , 23/10/2012 06:29:41:582 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP100402901Default Amount :144656.0
4 , 23/10/2012 06:29:41:586 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 23/10/2012 06:29:41:588 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 23/10/2012 06:29:41:653 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 23/10/2012 06:29:41:660 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101878301Oustanding Amount :2112000.0
4 , 23/10/2012 06:29:41:663 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101878301Approved Application Amount :2112000.0
4 , 23/10/2012 06:29:41:666 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101878301Claim Applied Amount :1538758.0
4 , 23/10/2012 06:29:41:672 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL12UP101878301Recovered Amount :0.0
