4 , 23/10/2012 04:50:12:960 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:50:12:976 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:50:12:976 , ClaimAction , displayClaimApproval() , memId :001400140000
4 , 23/10/2012 04:50:12:976 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB090025301
4 , 23/10/2012 04:50:12:976 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:50:12:976 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:50:12:976 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:50:12:976 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:50:12:976 , ClaimAction , displayClaimApproval() , memId :000100650000
4 , 23/10/2012 04:50:12:976 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP101282501
4 , 23/10/2012 04:50:12:991 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:50:12:991 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:50:12:991 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:50:12:991 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:50:12:991 , ClaimAction , displayClaimApproval() , memId :001400010000
4 , 23/10/2012 04:50:12:991 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12UP102734101
4 , 23/10/2012 04:50:12:991 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:50:12:991 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:50:12:991 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:50:12:991 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:50:13:007 , ClaimAction , displayClaimApproval() , memId :000100030000
4 , 23/10/2012 04:50:13:007 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12WB102060001
4 , 23/10/2012 04:50:13:007 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:50:13:007 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:50:13:007 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:50:13:007 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:50:13:007 , ClaimAction , displayClaimApproval() , memId :000600190000
4 , 23/10/2012 04:50:13:007 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12GU070114001
4 , 23/10/2012 04:50:13:007 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:50:13:022 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:50:13:022 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:50:13:022 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:50:13:022 , ClaimAction , displayClaimApproval() , memId :001500050000
4 , 23/10/2012 04:50:13:022 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12MP090005701
4 , 23/10/2012 04:50:13:022 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:50:13:022 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:50:13:022 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:50:13:038 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:50:13:038 , ClaimAction , displayClaimApproval() , memId :001500260000
4 , 23/10/2012 04:50:13:038 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12MP090061701
4 , 23/10/2012 04:50:13:038 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 23/10/2012 04:50:13:038 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 23/10/2012 04:50:13:038 , ClaimAction , displayClaimApproval() , ###################
4 , 23/10/2012 04:50:13:038 , ClaimAction , displayClaimApproval() , ##################
4 , 23/10/2012 04:50:13:038 , ClaimAction , displayClaimApproval() , memId :000100190000
4 , 23/10/2012 04:50:13:038 , ClaimAction , displayClaimApproval() , claimrefnumber :CL12BI110044801
4 , 23/10/2012 04:50:13:054 , ClaimAction , displayClaimApproval() , clmStatus :NE
